Evento,Fecha,HoraUTC,HoraLocal,Latitud,Longitud,Profundidad,Magnitud,Tipo_Magnitud,Intensidad,Localizacion,Imagen
es2021twqvz,10/10/2021,17:13:54,18:13:54,28.5643,-17.8286,11,3.2,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021twouc,10/10/2021,16:10:53,17:10:53,28.5629,-17.8394,11,3.1,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021twiye,10/10/2021,13:13:48,14:13:48,28.5672,-17.8351,13,3.3,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021twird,10/10/2021,13:05:40,14:05:40,28.5639,-17.8420,38,4.0,mbLg,III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021twhkh,10/10/2021,12:27:20,13:27:20,28.6292,-17.7921,37,3.0,mbLg,II,SW BRE헤 BAJA.ILP,NA
es2021twgij,10/10/2021,11:54:46,12:54:46,28.5744,-17.8193,37,4.1,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021twcmv,10/10/2021,09:58:54,11:58:54,37.9119,-1.0877,10,2.3,mbLg,III,SE MURCIA.MU,NA
es2021twbkt,10/10/2021,09:26:27,10:26:27,28.5820,-17.8182,37,3.7,mbLg,II-III,SW VILLA DE MAZO.ILP,NA
es2021tvsez,10/10/2021,04:46:31,05:46:31,28.5637,-17.8375,14,3.5,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tvmpw,10/10/2021,01:57:22,02:57:22,28.5603,-17.8118,34,3.8,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tviuk,10/10/2021,00:01:25,01:01:25,28.5533,-17.8387,14,3.4,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tvdwj,09/10/2021,21:32:11,22:32:11,28.5625,-17.8485,11,3.2,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tvcqg,09/10/2021,20:54:45,21:54:45,28.5571,-17.8332,11,3.6,mbLg,IV,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tvbsx,09/10/2021,20:27:30,21:27:30,28.5509,-17.8210,36,3.8,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tvazs,09/10/2021,20:05:35,21:05:35,28.5618,-17.8758,37,3.9,mbLg,III,NW FUENCALIENTE DE LA PALMA.IL,NA
es2021tuvxf,09/10/2021,17:30:42,18:30:42,28.5680,-17.8428,11,3.5,mbLg,II-III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tuvwi,09/10/2021,17:29:39,18:29:39,28.5675,-17.8505,38,3.1,mbLg,III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tuthy,09/10/2021,16:12:17,17:12:17,28.5845,-17.7951,40,3.6,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021turyx,09/10/2021,15:31:28,16:31:28,28.5568,-17.8417,13,3.6,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tuqgj,09/10/2021,14:39:49,15:39:49,28.5696,-17.8340,13,3.6,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tuidf,09/10/2021,10:33:36,11:33:36,28.5685,-17.8370,12,3.6,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tufzs,09/10/2021,09:28:42,10:28:42,28.5872,-17.7969,31,3.8,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tudkx,09/10/2021,08:10:48,09:10:48,28.5734,-17.8316,11,3.4,mbLg,III-IV,SW VILLA DE MAZO.ILP,NA
es2021tuaat,09/10/2021,06:28:20,07:28:20,28.5548,-17.8426,11,3.2,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021ttrhb,09/10/2021,02:02:43,03:02:43,28.5694,-17.8335,11,3.0,mbLg,Sentido,SW VILLA DE MAZO.ILP,NA
es2021ttnbq,08/10/2021,23:55:06,00:55:06,28.5839,-17.8229,38,4.2,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021ttajc,08/10/2021,17:30:02,18:30:02,28.5629,-17.8417,14,2.8,mbLg,III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tsrkd,08/10/2021,12:58:16,13:58:16,28.5564,-17.8332,13,3.1,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tsqzq,08/10/2021,12:46:00,13:46:00,28.5735,-17.8458,12,3.9,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tspoe,08/10/2021,12:02:22,13:02:22,28.5626,-17.8390,13,3.4,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tsfrr,08/10/2021,07:03:22,08:03:22,28.5634,-17.8382,13,3.3,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tsffj,08/10/2021,06:49:01,07:49:01,28.5558,-17.8371,14,3.3,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tsevo,08/10/2021,06:37:33,07:37:33,28.5624,-17.8459,11,2.8,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tseoo,08/10/2021,06:29:26,07:29:26,28.5609,-17.8439,13,3.3,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tsbfg,08/10/2021,04:47:39,05:47:39,28.5585,-17.8649,10,3.6,mbLg,II-III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tsamr,08/10/2021,04:26:00,05:26:00,28.5499,-17.8345,14,3.3,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tsaau,08/10/2021,04:12:10,05:12:10,28.5600,-17.8499,10,3.3,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tryrn,08/10/2021,03:31:03,04:31:03,28.5810,-17.8300,38,3.8,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021trwpv,08/10/2021,02:28:26,03:28:26,28.5500,-17.8337,14,2.6,mbLg,Sentido,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trvpj,08/10/2021,01:57:34,02:57:34,28.5517,-17.8309,14,2.6,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021truzx,08/10/2021,01:39:48,02:39:48,28.5646,-17.8291,14,3.1,mbLg,II-III,SW VILLA DE MAZO.ILP,NA
es2021trtfd,08/10/2021,00:45:02,01:45:02,28.5552,-17.8317,12,3.3,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trsei,08/10/2021,00:13:49,01:13:49,28.5478,-17.8322,14,3.2,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trrmj,07/10/2021,23:52:50,00:52:50,28.5637,-17.8034,39,2.7,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021trqty,07/10/2021,23:31:23,00:31:23,28.5535,-17.8425,15,3.0,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trpic,07/10/2021,22:47:16,23:47:16,28.5536,-17.8311,14,3.5,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trojh,07/10/2021,22:18:22,23:18:22,28.5514,-17.8477,14,3.0,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021trnzu,07/10/2021,22:07:17,23:07:17,28.5620,-17.8477,10,2.2,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021trnpl,07/10/2021,21:55:32,22:55:32,28.5642,-17.8207,11,3.1,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021trklg,07/10/2021,20:19:24,21:19:24,28.5560,-17.8408,13,3.4,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trizi,07/10/2021,19:35:12,20:35:12,28.5612,-17.8362,11,2.8,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trhqu,07/10/2021,18:55:36,19:55:36,28.5628,-17.8485,13,3.4,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021trhge,07/10/2021,18:42:40,19:42:40,28.5690,-17.8428,10,3.1,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021treit,07/10/2021,17:14:38,18:14:38,28.5581,-17.8207,14,3.5,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021trdqe,07/10/2021,16:52:59,17:52:59,28.5625,-17.8395,10,3.4,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trdli,07/10/2021,16:47:20,17:47:20,28.5596,-17.8472,13,2.6,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021trcnk,07/10/2021,16:19:28,17:19:28,28.5653,-17.8391,14,2.7,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trcih,07/10/2021,16:13:42,17:13:42,28.5603,-17.8463,13,2.9,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021trbqq,07/10/2021,15:52:54,16:52:54,28.5602,-17.8380,12,3.1,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021trbnm,07/10/2021,15:49:15,16:49:15,28.5753,-17.8440,10,3.6,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tqyub,07/10/2021,14:26:04,15:26:04,28.5817,-17.8323,37,3.8,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tqwti,07/10/2021,13:24:32,14:24:32,28.5511,-17.8529,14,3.2,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tqwce,07/10/2021,13:04:31,14:04:31,28.5706,-17.7979,34,2.9,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021tqsob,07/10/2021,11:17:10,12:17:10,28.5761,-17.7924,35,4.3,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tqsdt,07/10/2021,11:05:08,12:05:08,28.5564,-17.8270,14,3.3,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tqrjc,07/10/2021,10:41:04,11:41:04,28.5556,-17.8399,12,3.4,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tqnjk,07/10/2021,08:40:12,09:40:12,28.5474,-17.8404,14,3.3,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tqmbj,07/10/2021,08:00:30,09:00:30,28.5524,-17.8455,8,2.4,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tqkrn,07/10/2021,07:18:45,08:18:45,28.5695,-17.8341,11,3.5,mbLg,II-III,SW VILLA DE MAZO.ILP,NA
es2021tqjtg,07/10/2021,06:50:27,07:50:27,28.5708,-17.8319,10,2.9,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021tqjeb,07/10/2021,06:32:42,07:32:42,28.5535,-17.8212,13,2.7,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tqipw,07/10/2021,06:16:10,07:16:10,28.5601,-17.8374,12,3.0,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tpxhx,07/10/2021,00:33:31,01:33:31,28.5657,-17.8356,10,3.5,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tpupz,06/10/2021,23:11:59,00:11:59,28.5609,-17.8430,10,2.7,mbLg,III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tpubd,06/10/2021,22:54:43,23:54:43,28.5554,-17.8328,12,3.5,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tptxn,06/10/2021,22:50:30,23:50:30,28.5616,-17.8377,11,3.7,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tptsr,06/10/2021,22:45:40,23:45:40,28.5663,-17.8247,11,3.4,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tptqh,06/10/2021,22:42:04,23:42:04,28.5510,-17.8325,13,3.9,mbLg,III-IV,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tptls,06/10/2021,22:37:01,23:37:01,28.5585,-17.8383,11,3.1,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tpsql,06/10/2021,22:11:56,23:11:56,28.5584,-17.8387,11,3.4,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tpsgp,06/10/2021,22:00:27,23:00:27,28.5599,-17.8360,11,3.3,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tprhr,06/10/2021,21:31:24,22:31:24,28.5555,-17.8185,13,3.0,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021tpqkd,06/10/2021,21:04:12,22:04:12,28.5691,-17.8379,11,2.6,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021tppbi,06/10/2021,20:23:23,21:23:23,28.5548,-17.8387,14,3.4,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tpmev,06/10/2021,18:56:43,19:56:43,28.5824,-17.8236,37,3.7,mbLg,II-III,SW VILLA DE MAZO.ILP,NA
es2021tpeua,06/10/2021,15:12:00,16:12:00,28.5700,-17.8333,10,3.5,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tpdxf,06/10/2021,14:45:16,15:45:16,28.5625,-17.8396,11,3.2,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tpczv,06/10/2021,14:17:58,15:17:58,28.5554,-17.8333,13,3.4,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tpcev,06/10/2021,13:53:27,14:53:27,28.5643,-17.8263,12,2.4,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021tpbvy,06/10/2021,13:43:08,14:43:08,28.5548,-17.8389,13,3.3,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tpaat,06/10/2021,12:48:19,13:48:19,28.5709,-17.8356,11,3.2,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tozvy,06/10/2021,12:42:31,13:42:31,28.5779,-17.8268,36,3.2,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tozlu,06/10/2021,12:30:39,13:30:39,28.5713,-17.8295,11,3.0,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021toxua,06/10/2021,11:39:40,12:39:40,28.5587,-17.8336,12,3.7,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021toxes,06/10/2021,11:21:48,12:21:48,28.5659,-17.8380,38,2.7,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021towfa,06/10/2021,10:51:49,11:51:49,28.5842,-17.8286,40,3.4,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tovfx,06/10/2021,10:22:35,11:22:35,28.5596,-17.8477,12,2.8,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021toqpm,06/10/2021,08:02:13,09:02:13,28.5583,-17.8385,13,3.2,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021topkf,06/10/2021,07:25:47,08:25:47,28.5583,-17.8362,37,3.6,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tommr,06/10/2021,05:57:44,06:57:44,28.5520,-17.8347,14,3.3,mbLg,III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tokhp,06/10/2021,04:51:09,06:51:09,41.0701,-1.9203,,3.2,mbLg,II,SW MILMARCOS.GU,NA
es2021toevy,06/10/2021,02:06:17,03:06:17,28.5646,-17.8383,11,3.3,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021todlo,06/10/2021,01:23:38,02:23:38,28.5832,-17.8405,10,2.6,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021tocyl,06/10/2021,01:08:21,02:08:21,28.5611,-17.8376,13,3.1,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tnvgt,05/10/2021,21:15:34,22:15:34,28.5610,-17.8439,11,2.4,mbLg,I-II,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tntmm,05/10/2021,20:21:39,21:21:39,28.5618,-17.8371,11,3.4,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tntac,05/10/2021,20:07:13,21:07:13,28.5487,-17.8443,14,3.3,mbLg,I-II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tnrbh,05/10/2021,19:07:57,20:07:57,28.5543,-17.8404,14,2.8,mbLg,II,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tnoah,05/10/2021,17:36:02,18:36:02,28.5771,-17.8192,14,2.9,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021tnmbu,05/10/2021,16:37:03,17:37:03,28.5541,-17.8334,13,3.4,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tnhcg,05/10/2021,14:06:01,15:06:01,28.5782,-17.8564,10,2.7,mbLg,I-II,SE EL PASO.ILP,NA
es2021tngtz,05/10/2021,13:57:06,14:57:06,28.5786,-17.8284,37,3.6,mbLg,II,SW VILLA DE MAZO.ILP,NA
es2021tngkf,05/10/2021,13:44:59,14:44:59,28.5671,-17.8367,11,2.8,mbLg,I-II,SW VILLA DE MAZO.ILP,NA
es2021tndkv,05/10/2021,12:14:47,13:14:47,28.5671,-17.8373,13,3.5,mbLg,III,SW VILLA DE MAZO.ILP,NA
es2021tmxzs,05/10/2021,09:31:09,10:31:09,28.5549,-17.8350,13,3.5,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tmwju,05/10/2021,08:41:25,09:41:25,28.5539,-17.8355,13,3.3,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,NA
es2021tmvzm,05/10/2021,08:29:25,09:29:25,28.5685,-17.8476,12,3.6,mbLg,III,N FUENCALIENTE DE LA PALMA.ILP,NA
es2021tmtrm,05/10/2021,07:19:36,08:19:36,28.5667,-17.8405,13,3.5,mbLg,II,N FUENCALIENTE DE LA PALMA.ILP,NA
